route_id,date,hour,departures,max_bunch_1m,max_bunch_2m
M15,8/1/2014,0:00:00,7,2,2
M15,8/1/2014,1:00:00,6,2,2
M15,8/1/2014,8:00:00,7,2,2
M15,8/1/2014,12:00:00,7,2,2
M15,8/1/2014,14:00:00,8,2,2
M15,8/1/2014,15:00:00,5,2,2
M15,8/1/2014,16:00:00,3,2,2
M15,8/1/2014,19:00:00,7,2,2
M15,8/1/2014,20:00:00,6,3,3
M15,8/1/2014,21:00:00,5,2,2
M15,8/2/2014,0:00:00,6,2,2
M15,8/2/2014,6:00:00,3,2,2
M15,8/2/2014,23:00:00,5,2,2
M15,8/3/2014,0:00:00,4,3,4
M15,8/3/2014,1:00:00,5,2,2
M15,8/3/2014,14:00:00,5,2,2
M15,8/4/2014,0:00:00,5,2,2
M15,8/4/2014,10:00:00,3,3,3
M15,8/4/2014,11:00:00,5,2,2
M15,8/4/2014,13:00:00,3,2,2
M15,8/4/2014,16:00:00,6,2,3
M15,8/5/2014,11:00:00,7,2,2
M15,8/5/2014,18:00:00,6,2,2
M15,8/6/2014,0:00:00,8,2,2
M15,8/6/2014,6:00:00,5,2,2
M15,8/6/2014,13:00:00,7,2,2
M15,8/6/2014,16:00:00,9,3,3
M15,8/6/2014,17:00:00,4,2,2
M15,8/6/2014,20:00:00,7,2,2
M15,8/7/2014,0:00:00,6,2,2
M15,8/7/2014,10:00:00,7,2,2
M15,8/7/2014,13:00:00,8,2,2
M15,8/7/2014,16:00:00,8,2,2
M15,8/7/2014,18:00:00,5,2,4
M15,8/7/2014,19:00:00,8,3,3
M15,8/7/2014,21:00:00,6,2,2
M15,8/7/2014,23:00:00,6,2,3
M15,8/8/2014,0:00:00,7,2,2
M15,8/8/2014,1:00:00,5,2,2
M15,8/8/2014,9:00:00,8,2,2
M15,8/8/2014,13:00:00,7,2,2
M15,8/8/2014,16:00:00,6,2,2
M15,8/8/2014,17:00:00,5,2,2
M15,8/8/2014,18:00:00,8,2,2
M15,8/8/2014,19:00:00,7,2,2
M15,8/8/2014,23:00:00,6,2,2
M15,8/9/2014,1:00:00,6,3,3
M15,8/9/2014,14:00:00,6,2,2
M15,8/10/2014,1:00:00,4,2,2
M15,8/10/2014,9:00:00,4,2,2
M15,8/10/2014,23:00:00,5,2,2
M15,8/11/2014,0:00:00,5,2,2
M15,8/11/2014,2:00:00,4,2,2
M15,8/11/2014,13:00:00,7,2,2
M15,8/12/2014,15:00:00,6,2,3
M15,8/13/2014,10:00:00,4,2,2
M15,8/13/2014,11:00:00,9,2,2
M15,8/13/2014,20:00:00,7,2,2
M15,8/14/2014,9:00:00,6,2,2
M15,8/14/2014,12:00:00,7,2,2
M15,8/15/2014,0:00:00,7,2,2
M15,8/15/2014,13:00:00,7,2,2
M15,8/15/2014,19:00:00,6,2,2
M15,8/15/2014,20:00:00,5,2,2
M15,8/16/2014,0:00:00,6,2,3
M15,8/16/2014,1:00:00,6,2,2
M15,8/16/2014,2:00:00,4,2,2
M15,8/16/2014,18:00:00,6,2,2
M15,8/16/2014,20:00:00,6,2,2
M15,8/16/2014,23:00:00,5,2,2
M15,8/17/2014,0:00:00,5,2,2
M15,8/17/2014,12:00:00,4,2,2
M15,8/17/2014,15:00:00,8,2,2
M15,8/17/2014,17:00:00,6,2,2
M15,8/17/2014,18:00:00,6,2,2
M15,8/18/2014,18:00:00,8,2,2
M15,8/19/2014,7:00:00,5,2,2
M15,8/19/2014,19:00:00,6,2,2
M15,8/20/2014,0:00:00,7,2,3
M15,8/20/2014,13:00:00,6,2,2
M15,8/20/2014,16:00:00,6,2,2
M15,8/20/2014,21:00:00,6,2,2
M15,8/21/2014,0:00:00,7,2,3
M15,8/21/2014,9:00:00,7,2,2
M15,8/21/2014,17:00:00,7,2,2
M15,8/21/2014,22:00:00,8,3,3
M15,8/22/2014,0:00:00,6,2,2
M15,8/22/2014,18:00:00,7,2,2
M15,8/22/2014,21:00:00,5,2,2
M15,8/22/2014,22:00:00,5,2,2
M15,8/23/2014,2:00:00,3,2,2
M15,8/23/2014,20:00:00,5,2,2
M15,8/24/2014,16:00:00,5,2,2
M15,8/24/2014,19:00:00,4,2,2
M15,8/25/2014,11:00:00,7,2,2
M15,8/25/2014,14:00:00,5,2,2
M15,8/25/2014,15:00:00,6,2,2
M15,8/25/2014,21:00:00,5,2,2
M15,8/26/2014,0:00:00,7,2,3
M15,8/26/2014,8:00:00,8,2,2
M15,8/26/2014,9:00:00,6,2,2
M15,8/26/2014,10:00:00,6,2,2
M15,8/26/2014,13:00:00,6,2,2
M15,8/26/2014,14:00:00,6,2,2
M15,8/26/2014,16:00:00,7,2,2
M15,8/26/2014,19:00:00,5,2,2
M15,8/26/2014,21:00:00,5,2,2
M15,8/26/2014,23:00:00,5,2,2
M15,8/27/2014,9:00:00,8,2,2
M15,8/27/2014,10:00:00,6,2,2
M15,8/27/2014,11:00:00,4,2,2
M15,8/27/2014,18:00:00,6,2,2
M15,8/28/2014,12:00:00,5,2,2
M15,8/28/2014,13:00:00,7,2,2
M15,8/28/2014,20:00:00,5,2,2
M15,8/29/2014,0:00:00,6,2,3
M15,8/29/2014,14:00:00,5,2,2
M15,8/29/2014,18:00:00,6,2,2
M15,8/29/2014,21:00:00,6,2,2
M15,8/30/2014,0:00:00,8,2,2
M15,8/30/2014,19:00:00,7,2,2
M15,8/30/2014,23:00:00,5,2,2
M15,8/31/2014,0:00:00,4,2,2
M15,8/31/2014,1:00:00,5,2,2
M15,8/31/2014,19:00:00,5,2,2
